,start,end,duration,B_avg,B_max,beta_avg,V_avg,T_avg,Np_avg,scale_length,peak_time,sigm,sigc,sigr
25,2009-06-20 03:45:32.245367,2009-06-20 03:46:33.833833,1.02647,9.42831,10.5147,17.60145,172.21854,2196285.01195,18.07018,10606.67609,2009-06-20 03:46:03.039600,-0.929,-0.105,-0.977
26,2009-06-20 10:19:42.025525,2009-06-20 10:20:15.606875,0.55969,16.45774,17.05113,8.12698,205.81893,2654431.98921,22.12559,6911.67745,2009-06-20 10:19:58.816200,0.824,0.005,-1.0
27,2009-06-20 10:56:31.018833,2009-06-20 11:26:38.278767,30.121,12.37554,16.33932,15.04824,205.37353,2739095.80944,21.2949,371163.35591,2009-06-20 11:11:34.648800,0.777,-0.323,0.377
28,2009-06-20 11:49:16.255054,2009-06-20 11:53:02.162546,3.76512,14.37063,16.64837,10.95579,210.59928,2905792.99318,19.92869,47575.95459,2009-06-20 11:51:09.208800,-0.821,-0.02,-0.991
29,2009-06-20 11:53:04.037450,2009-06-20 11:54:11.200150,1.11938,13.54648,15.46142,13.3826,217.2499,2910393.98766,21.19164,14591.08961,2009-06-20 11:53:37.618800,-0.817,-0.261,0.667
30,2009-06-20 11:54:35.634220,2009-06-20 11:55:55.504580,1.33117,11.97384,13.60889,17.151,216.48253,2810045.40651,22.43784,17290.5377,2009-06-20 11:55:15.569400,-0.933,0.039,-0.998
31,2009-06-20 12:04:24.571614,2009-06-20 12:40:13.777986,35.82011,14.66805,20.03782,13.45476,218.62186,2889880.21519,25.2101,469863.50249,2009-06-20 12:22:19.174800,0.784,0.231,-0.746
32,2009-06-20 12:51:17.343858,2009-06-20 13:10:49.206942,19.53105,19.64403,21.33803,4.67948,195.94787,2745088.63101,16.89558,229624.07609,2009-06-20 13:01:03.275400,0.805,-0.002,0.373
33,2009-06-20 13:16:07.279233,2009-06-20 13:46:14.539167,30.121,19.06617,23.10344,5.21926,206.04415,2664385.26495,18.02316,372375.34326,2009-06-20 13:31:10.909200,-0.961,0.131,0.343
34,2009-06-20 14:05:46.567029,2009-06-20 14:15:32.498571,9.76553,16.62703,18.85409,8.19709,211.57025,2739448.46649,21.54156,123965.68555,2009-06-20 14:10:39.532800,-0.784,0.244,-0.381
35,2009-06-20 14:16:34.675714,2009-06-20 14:21:27.641486,4.88276,15.79322,17.27762,9.2381,207.29678,2725991.49546,22.08683,60730.86161,2009-06-20 14:19:01.158600,-0.861,-0.297,-0.793
36,2009-06-20 14:26:17.484000,2009-06-20 14:32:37.413600,6.33216,13.31712,15.39759,15.59053,212.18158,2831661.92977,24.99615,80614.06211,2009-06-20 14:29:27.448800,-0.92,0.183,0.909
37,2009-06-20 14:33:48.650400,2009-06-20 14:35:23.632800,1.58304,13.80681,16.96503,15.18519,210.9741,2818364.12843,25.41236,20038.82632,2009-06-20 14:34:36.141600,-0.775,-0.033,-0.996
38,2009-06-20 14:35:29.569200,2009-06-20 14:37:04.551600,1.58304,13.23089,17.35392,17.15732,210.72524,2912479.58653,25.8385,20015.18918,2009-06-20 14:36:17.060400,-0.798,-0.008,-1.0
39,2009-06-20 14:40:52.061914,2009-06-20 14:45:45.027686,4.88276,16.27188,18.40887,8.83154,211.05851,2889195.87024,20.90437,61832.92048,2009-06-20 14:43:18.544800,0.785,0.598,0.524
40,2009-06-20 15:18:43.802933,2009-06-20 15:51:34.633867,32.84718,18.21973,21.74142,5.62498,206.54084,2668850.43918,17.75173,407057.06707,2009-06-20 15:35:09.218400,0.772,0.334,0.409
